Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Anabia,,,,,,,,,6.0,9.0,10.0
Anahi,20.0,20.0,14.0,18.0,11.0,12.0,11.0,5.0,10.0,15.0,
Anai,5.0,5.0,6.0,,,5.0,,,,,
Anaia,,,,,,,,,,,5.0
Anaiah,,,5.0,5.0,12.0,16.0,14.0,10.0,15.0,5.0,
Anais,19.0,51.0,49.0,29.0,23.0,22.0,22.0,16.0,28.0,28.0,24.0
Anaiya,7.0,10.0,15.0,9.0,,13.0,9.0,9.0,10.0,,
Anaiyah,5.0,7.0,6.0,7.0,8.0,,9.0,8.0,6.0,6.0,
Analeah,,,,,,,,,,6.0,5.0
Analee,,,,,,5.0,7.0,7.0,7.0,,
Analeigh,,,,,,11.0,6.0,9.0,6.0,,
Anali,,,,,,,5.0,6.0,,,
Analia,,6.0,9.0,5.0,23.0,67.0,24.0,27.0,24.0,19.0,15.0
Analiah,,,,,,,,9.0,6.0,6.0,
Analiese,5.0,6.0,7.0,5.0,7.0,6.0,6.0,9.0,7.0,,
Analis,,5.0,,5.0,8.0,6.0,,,8.0,6.0,5.0
Analisa,,8.0,6.0,,5.0,,,5.0,,,
Analise,9.0,17.0,15.0,15.0,21.0,14.0,12.0,14.0,16.0,20.0,9.0
Analisse,,,,,,,,6.0,,,
Analiyah,,,,,,9.0,,5.0,,10.0,
Analiz,5.0,,,6.0,8.0,8.0,,6.0,5.0,5.0,
Analy,,5.0,,,,,8.0,,,,
Analyse,,,,6.0,,,,,,,
Anamaria,5.0,,,7.0,,5.0,,,,,
Anamika,,,,,,,,,6.0,,
Ananda,7.0,,,8.0,5.0,,,5.0,,,
Ananya,16.0,6.0,7.0,14.0,16.0,15.0,11.0,,14.0,15.0,13.0
Anari,,,,9.0,,6.0,,6.0,,,
Anaria,,,,,,5.0,,,,,
Anasia,6.0,,6.0,,5.0,,,,,,
Anastacia,12.0,6.0,10.0,13.0,7.0,,5.0,,,,5.0
Anastasia,109.0,117.0,93.0,92.0,76.0,82.0,86.0,71.0,75.0,110.0,96.0
Anastasiya,,6.0,,,,,,,,,
Anaya,50.0,54.0,58.0,64.0,62.0,73.0,46.0,49.0,54.0,65.0,79.0
